miRNA,9_5_3_4_CCAACA_S7_L001,9_5_3_8_CTCAGA_S11_L001,9_5_3_10_TAATCG_S2_L001,9_5_3_11_TACAGC_S3_L001,9_5_3_1_CAGGCG_S1_L001,9_5_3_6_CTAGCT_S9_L001,9_5_3_9_GACGAC_S12_L001,9_5_3_5_CGGAAT_S8_L001,9_5_3_12_TATAAT_S4_L001,9_5_3_2_CATGGC_S5_L001,9_5_3_3_CATTTT_S6_L001,9_5_3_7_CTATAC_S10_L001
hsa-mir-6715b_mature,0,0,0,0,0,0,0,11,0,0,0,0
hsa-mir-3937_mature,0,0,13,0,0,0,0,0,0,0,0,0
hsa-mir-7107_mature,3,0,0,0,0,0,0,0,4,0,0,0
hsa-mir-16-1_mature,9,663,10902,9520,723,10837,676,15014,10751,679,999,11
hsa-mir-1275_mature,0,0,0,0,0,7,0,0,5,0,0,0
hsa-mir-449c_mature,0,0,0,0,0,0,0,4,0,0,0,0
hsa-mir-548l_mature,174,1,129,381,19,224,8,310,180,5,0,0
hsa-mir-134_mature,0,0,8,35,19,0,0,0,10,0,0,0
hsa-mir-4435-1_mature,18,0,35,26,0,79,0,11,34,11,0,0
hsa-mir-93_mature,2754,472,3715,3931,552,3368,480,6073,3300,306,534,205
hsa-mir-3193_mature,44,0,68,0,0,14,0,42,38,0,0,0
hsa-mir-548v_mature,46,0,57,41,0,51,0,72,65,0,0,0
hsa-mir-433_mature,0,0,0,0,0,29,0,0,0,0,0,4
hsa-mir-30e_stemloop,0,0,0,2,0,14,0,0,0,0,0,0
hsa-mir-191_mature,189,165,272,272,72,323,31,367,286,30,34,27
hsa-mir-758_mature,0,0,12,0,0,0,0,0,0,0,0,0
hsa-mir-4782_precursor,0,0,0,0,0,41,0,0,1,0,0,0
hsa-mir-26a-2_precursor,0,0,0,23,0,0,0,0,0,0,0,0
hsa-mir-147b_mature,0,0,20,6,0,11,0,3,10,0,0,0
hsa-mir-4421_mature,0,0,0,0,0,0,0,0,4,0,0,0
hsa-mir-4750_mature,0,0,5,0,0,0,0,6,0,0,0,0
hsa-mir-4779_unannotated,10,0,0,56,0,0,0,0,2,0,0,0
hsa-mir-296_mature,9,0,17,47,0,0,0,26,2,0,20,51
hsa-mir-3938_mature,0,0,0,0,0,1,0,0,0,0,0,0
hsa-mir-6856_mature,8,0,0,0,0,28,0,9,10,0,0,0
hsa-mir-548n_mature,32,0,46,37,0,37,1,0,94,0,0,0
hsa-mir-3127_mature,13,42,22,14,14,98,23,69,37,0,45,0
hsa-mir-4677_mature,0,0,15,6,0,1,0,54,47,0,0,0
hsa-mir-4758_mature,7,0,2,15,39,144,27,19,5,0,0,53
hsa-mir-548o-2_mature,85,8,217,230,11,159,1,399,181,0,20,16
hsa-mir-21_precursor,14,0,8,0,0,0,0,0,17,0,0,0
hsa-mir-6809_mature,0,0,0,56,0,0,0,0,0,0,0,0
hsa-mir-5697_mature,69,1,9,67,0,58,14,106,34,0,1,0
hsa-mir-6507_mature,0,0,0,0,0,0,0,0,6,0,0,0
hsa-mir-371a_mature,15,0,172,138,49,149,10,292,7,30,0,88
hsa-mir-3162_mature,6,0,0,21,0,0,0,0,0,0,18,0
hsa-mir-92a-1_mature,424,123,496,342,124,420,58,790,410,71,177,138
hsa-mir-4473_mature,32,0,27,10,0,40,0,98,23,0,107,21
hsa-mir-411_mature,0,0,1,6,0,0,0,41,29,0,0,0
hsa-mir-23a_precursor,0,0,0,0,0,8,0,0,7,0,0,33
hsa-mir-4748_mature,14,0,2,0,0,12,0,0,0,0,0,0
hsa-mir-136_mature,0,0,0,21,0,13,0,0,4,0,0,0
hsa-mir-96_mature,225,58,563,176,103,467,0,422,407,59,107,84
hsa-mir-326_mature,42,62,70,100,13,72,4,111,46,0,34,38
hsa-mir-191_precursor,0,0,0,0,0,0,0,0,3,0,0,0
hsa-mir-3122_mature,0,0,0,0,0,0,0,0,6,0,0,0
hsa-mir-6775_mature,0,0,9,25,0,39,0,21,0,0,23,15
hsa-mir-676_mature,110,1,110,81,177,189,20,148,76,15,14,199
hsa-mir-4479_mature,1,0,22,1,0,63,0,0,6,0,16,0
hsa-mir-378a_mature,69,853,68,7364,752,103,686,234,108,541,1166,781
hsa-mir-1296_mature,824,15,1059,1078,53,1535,182,1386,803,49,52,174
hsa-mir-135a-2_mature,2,0,0,0,0,0,0,0,5,0,0,0
hsa-mir-6884_mature,8,0,0,0,0,0,0,0,12,15,0,0
hsa-mir-1469_unannotated,0,0,0,0,0,0,0,0,0,7,0,0
hsa-mir-3940_mature,23,25,14,27,0,3,1,66,3,21,0,13
hsa-mir-138-1_mature,4,0,16,25,0,2,0,1,9,0,0,1
hsa-mir-1266_mature,42,26,80,46,120,7,23,164,16,0,74,74
hsa-mir-200a_mature,504,764,1015,624,61,669,4,1036,723,59,96,70
hsa-mir-12127_mature,0,0,0,13,0,0,0,0,0,0,16,0
hsa-mir-548d-2_mature,0,0,0,3,0,0,0,0,4,0,0,0
hsa-mir-5589_mature,0,0,4,0,0,0,0,0,0,0,0,0
hsa-mir-1273c_mature,22,0,7,7,0,16,0,51,11,0,0,10
hsa-mir-938_mature,0,0,0,0,0,25,0,0,0,0,0,0
hsa-mir-3120_mature,9,0,0,0,0,0,0,0,15,0,0,0
hsa-mir-191_stemloop,5,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-19b-2_mature,1467,111,2940,1726,355,2232,185,2600,2163,127,94,108
hsa-mir-34a_mature,130,21,103,131,146,265,71,202,97,244,52,381
hsa-mir-4470_mature,0,0,0,12,0,7,0,0,3,0,0,0
hsa-let-7b_mature,1126,337,2203,8,92,1383,166,1456,1366,211,253,175
hsa-mir-6793_mature,0,0,12,0,0,22,0,0,20,0,0,0
hsa-mir-548ai_mature,17,0,1,0,0,15,0,0,7,0,0,0
hsa-mir-514a-2_mature,0,0,0,0,0,0,0,6,0,0,0,0
hsa-mir-7702_unannotated,0,0,0,0,0,0,0,0,3,0,0,0
hsa-mir-612_precursor,0,0,0,0,0,12,0,0,2,0,0,0
hsa-mir-548x_mature,0,0,0,0,0,0,0,8,0,0,0,0
hsa-mir-4525_unannotated,2,0,11,8,0,11,0,21,0,0,0,0
hsa-mir-1276_mature,213,71,356,318,0,453,87,357,202,6,27,28
hsa-mir-26a-2_mature,91,305,201,139,320,223,452,422,175,411,468,1158
hsa-mir-6819_mature,0,0,6,0,0,0,22,17,1,0,27,0
hsa-mir-1269b_mature,1492,52,2852,1763,125,2196,45,2705,2204,49,122,64
hsa-mir-5001_mature,6,0,64,148,0,48,0,7,7,0,0,25
hsa-mir-3913-2_mature,11,3,28,3,0,0,0,0,15,0,0,0
hsa-mir-218-2_mature,17,0,60,27,10,33,0,60,27,3,20,5
hsa-mir-5692a-1_mature,0,0,1,0,0,0,0,0,0,0,0,0
hsa-mir-4701_mature,0,0,0,0,0,0,0,34,0,0,0,0
hsa-mir-532_mature,485,133,609,923,153,1551,109,1475,543,124,325,110
hsa-mir-130b_mature,1666,312,2984,3276,364,3648,437,3269,2023,327,656,364
hsa-mir-3917_stemloop,0,0,0,0,0,0,0,3,0,0,0,0
hsa-mir-501_mature,800,1,1587,1427,34,1972,1043,1437,1441,1843,32,18
hsa-mir-1301_mature,1852,28,2627,2133,154,2367,24,3263,1834,36,191,184
hsa-mir-4796_mature,21,0,9,15,0,40,0,10,11,0,0,0
hsa-mir-4679-1_mature,0,0,0,0,0,14,0,0,0,0,0,0
hsa-mir-892a_unannotated,0,0,0,0,0,0,0,18,5,0,0,0
hsa-mir-4511_mature,62,0,30,40,0,83,0,49,54,0,0,0
hsa-mir-615_mature,0,18,57,78,0,0,1,0,14,5,63,0
hsa-mir-3688-1_mature,22,0,33,9,9,15,0,48,28,6,0,34
hsa-mir-664a_mature,108,46,213,142,33,112,84,33,232,68,70,58
hsa-mir-3136_mature,0,0,0,0,0,39,29,24,0,0,0,0
hsa-mir-147a_mature,0,0,0,0,0,0,0,0,1,0,0,0
