miRNA,9_5_3_4_CCAACA_S7_L001,9_5_3_8_CTCAGA_S11_L001,9_5_3_10_TAATCG_S2_L001,9_5_3_11_TACAGC_S3_L001,9_5_3_1_CAGGCG_S1_L001,9_5_3_6_CTAGCT_S9_L001,9_5_3_9_GACGAC_S12_L001,9_5_3_5_CGGAAT_S8_L001,9_5_3_12_TATAAT_S4_L001,9_5_3_2_CATGGC_S5_L001,9_5_3_3_CATTTT_S6_L001,9_5_3_7_CTATAC_S10_L001
hsa-mir-6511b-1_mature,43,59,23,99,65,106,28,90,39,36,75,58
hsa-mir-4691_mature,12,0,7,28,0,0,0,0,0,0,0,0
hsa-mir-4771-2_unannotated,0,0,1,0,0,0,0,0,1,0,0,0
hsa-mir-3909_mature,696,141,1169,915,206,963,141,1775,835,102,160,73
hsa-mir-1908_mature,8,32,8,46,8,42,111,16,11,96,26,27
hsa-mir-4793_mature,0,0,0,0,0,0,0,0,2,0,0,0
hsa-mir-3622b_mature,0,0,21,0,0,0,13,0,5,0,0,0
hsa-mir-3664_mature,4,134,11,7,45,14,29,720,29,28,163,32
hsa-mir-4723_mature,10,0,16,49,17,0,0,0,2,0,0,0
hsa-mir-3199-2_unannotated,0,0,0,3,0,0,0,0,0,0,0,12
hsa-mir-6773_mature,13,0,0,9,0,0,0,26,5,12,0,0
hsa-mir-496_mature,0,0,0,36,0,0,0,30,0,0,0,0
hsa-mir-30b_mature,25,103,29,44,599,0,0,25,24,212,0,257
hsa-mir-3657_unannotated,0,0,7,0,0,0,0,0,0,0,0,0
hsa-mir-452_mature,2043,687,2473,2771,408,3428,395,4975,2410,509,832,599
hsa-mir-6803_mature,15,32,1,21,67,71,0,44,0,7,93,0
hsa-mir-6862-1_mature,34,0,81,82,0,34,8,172,27,15,34,18
hsa-mir-3132_mature,17,0,4,0,0,0,0,0,0,0,0,0
hsa-mir-3170_mature,16,3,1,33,0,31,0,74,9,0,0,0
hsa-mir-548av_mature,2,0,0,0,4,0,0,5,4,0,0,0
hsa-mir-320c-1_mature,76,31,115,164,29,245,4,166,106,35,72,21
hsa-mir-559_unannotated,0,0,6,27,0,0,0,25,4,0,0,0
hsa-mir-6878_mature,0,0,0,8,0,0,0,0,0,0,0,0
hsa-mir-4521_mature,0,0,0,0,0,0,0,0,5,0,0,0
hsa-mir-7976_unannotated,9,0,16,0,0,0,0,0,5,0,0,0
hsa-mir-548k_mature,45,0,35,61,2,156,37,59,87,0,0,0
hsa-mir-500b_mature,21,0,53,0,13,35,0,70,53,0,0,0
hsa-mir-410_mature,0,0,8,0,0,0,0,0,0,0,0,0
hsa-mir-609_mature,0,0,0,0,0,0,0,26,0,0,0,0
hsa-mir-15a_mature,204,28,246,122,85,143,20,3,150,22,238,107
hsa-mir-552_mature,6,0,13,1,1,0,0,34,3,0,0,0
hsa-mir-6732_mature,6,0,0,0,0,6,0,0,0,0,0,0
hsa-mir-6752_mature,0,0,0,0,0,0,0,36,0,0,0,0
hsa-mir-6840_mature,0,0,9,0,0,0,0,0,3,0,0,0
hsa-mir-3934_mature,1,32,108,81,18,29,0,115,34,32,0,15
hsa-mir-3184_mature,0,0,0,0,0,0,0,0,8,0,0,0
hsa-mir-17_mature,52,89,117,66,0,101,20,86,107,1,144,0
hsa-mir-485_mature,3,0,6,0,0,0,0,11,19,0,0,23
hsa-mir-6783_mature,36,0,0,0,0,5,0,10,32,0,0,0
hsa-mir-6770-2_mature,0,0,14,4,0,21,0,1,2,0,0,0
hsa-mir-21_mature,840,162,1166,1384,84,1811,102,2704,1107,80,184,121
hsa-mir-5692a-2_mature,1,0,3,0,0,0,0,0,0,0,0,0
hsa-mir-6817_mature,4,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-6843_mature,0,0,18,0,0,3,0,0,12,0,0,0
hsa-mir-4641_mature,0,0,10,0,0,0,0,0,0,0,0,0
hsa-let-7f-2_precursor,0,0,8,0,0,0,0,0,0,0,0,0
hsa-mir-10394_mature,25,0,20,0,0,27,0,72,31,0,0,0
hsa-mir-323a_mature,54,0,69,75,0,27,32,59,68,17,45,0
hsa-mir-542_mature,0,0,0,0,0,12,0,0,0,0,0,0
hsa-mir-3175_unannotated,0,0,0,0,0,0,0,0,30,0,0,0
hsa-mir-570_precursor,0,0,0,0,0,0,0,0,6,0,0,0
hsa-mir-376a-2_mature,12,0,0,0,8,0,8,42,14,0,0,0
hsa-mir-6751_mature,12,0,17,31,0,0,0,36,13,0,0,0
hsa-let-7a-3_mature,91,365,65,102,1,106,5,150,84,14,55,12
hsa-mir-3150b_mature,0,0,5,0,0,0,0,0,5,0,0,0
hsa-mir-208b_mature,0,0,0,3,0,0,0,0,0,0,0,0
hsa-mir-3929_mature,125,71,217,159,0,125,0,202,194,0,0,0
hsa-mir-590_mature,18,0,20,77,0,12,0,24,22,0,25,0
hsa-mir-3173_mature,32,205,61,55,30,90,35,77,68,287,37,245
hsa-mir-3918_unannotated,0,0,0,0,0,0,0,13,0,0,0,0
hsa-mir-3129_mature,10,0,11,0,0,0,0,0,2,0,0,0
hsa-mir-153-1_unannotated,9,0,0,0,0,34,0,20,0,0,0,0
hsa-mir-4685_mature,9,0,4,0,0,0,0,0,2,22,0,0
hsa-mir-6757_mature,0,0,7,0,0,0,0,0,0,0,0,0
hsa-mir-1295a_mature,0,0,0,5,0,0,0,0,0,0,0,0
hsa-mir-885_mature,108,1579,151,242,2,292,37,147,48,12,2618,24
hsa-mir-1291_mature,16,0,27,0,0,65,0,0,22,0,97,0
hsa-mir-4473_unannotated,0,0,0,3,0,0,0,13,6,0,0,0
hsa-mir-1284_unannotated,9,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-660_precursor,0,0,0,11,20,0,0,0,0,0,0,0
hsa-mir-1226_mature,25,40,298,5,81,24,201,889,4,22,243,97
hsa-mir-3188_mature,0,0,51,27,0,25,0,0,25,0,131,0
hsa-mir-199b_mature,414,71,718,548,0,613,7,536,557,46,79,1
hsa-mir-5588_mature,117,59,98,192,171,221,23,122,73,42,0,29
hsa-mir-548o_mature,87,7,214,205,7,168,8,434,188,0,22,20
hsa-mir-3145_mature,113,460,197,110,155,121,24,203,144,196,482,234
hsa-mir-4707_mature,74,0,160,183,72,256,0,120,160,0,37,0
hsa-mir-3160-1_mature,6,0,0,5,0,0,0,0,4,0,8,0
hsa-mir-6780a_mature,13,94,3,38,22,42,0,84,35,0,0,32
hsa-mir-133a-2_mature,16,0,21,33,17,33,0,29,17,0,0,0
hsa-mir-1307_precursor,0,0,0,10,0,0,0,0,0,0,0,0
hsa-mir-516a-1_mature,21,36,32,40,0,42,0,79,40,0,0,0
hsa-mir-508_mature,10,0,8,0,0,3,0,41,10,0,0,0
hsa-mir-6858_mature,2,0,12,0,0,10,0,17,5,18,0,0
hsa-mir-3126_mature,8,0,3,37,20,18,0,14,1,0,0,15
hsa-mir-6790_mature,0,0,0,0,0,0,0,53,0,0,0,0
hsa-mir-4659a_mature,37,0,49,28,0,61,0,124,0,0,0,0
hsa-mir-548aq_mature,0,0,0,0,0,0,0,0,6,0,0,0
hsa-mir-657_unannotated,0,0,0,27,0,0,0,0,0,0,0,0
hsa-mir-7113_mature,9,0,6,19,0,0,0,26,0,0,0,13
hsa-mir-588_unannotated,0,0,0,0,0,0,0,0,10,0,0,0
hsa-mir-3163_mature,0,0,0,0,0,0,0,0,3,0,0,0
hsa-mir-6855_mature,25,0,6,12,18,0,0,0,4,0,0,0
hsa-mir-4740_mature,0,1,0,0,0,0,0,0,0,0,0,0
hsa-mir-218-1_mature,20,0,39,21,15,56,0,53,3,6,12,4
hsa-mir-6810_mature,1,0,0,22,0,26,0,5,3,0,0,0
hsa-mir-3922_mature,0,0,0,0,0,0,0,0,7,0,0,0
hsa-mir-11401_mature,56,1,136,64,0,103,0,192,92,0,0,17
hsa-mir-129-1_mature,28,0,9,21,0,62,0,74,13,10,9,0
hsa-mir-6770-1_mature,1,0,12,2,0,31,0,0,9,0,0,0
hsa-mir-627_mature,51,39,13,61,6,17,21,3,15,12,0,0
hsa-mir-582_mature,14,0,38,18,33,23,0,59,37,20,33,11
hsa-mir-184_mature,78,1,116,85,0,296,0,407,113,21,0,0
hsa-mir-6820_mature,4,0,1,24,0,133,6,121,11,0,13,1
hsa-mir-6851_mature,0,0,23,0,0,10,0,0,3,0,0,0
hsa-mir-935_unannotated,0,0,9,0,0,0,0,0,0,0,0,0
hsa-mir-3652_unannotated,0,0,5,3,0,2,0,0,0,0,0,0
hsa-mir-10398_mature,0,0,2,0,0,0,0,0,0,0,0,0
hsa-mir-3605_mature,115,119,232,273,34,290,19,372,162,19,256,1
hsa-mir-7851_mature,0,0,0,0,0,0,0,0,9,0,0,0
hsa-mir-210_mature,25,177,11,43,18,24,5,411,299,59,31,102
hsa-mir-223_mature,0,0,0,0,0,0,0,28,21,0,0,0
hsa-mir-7108_mature,0,0,26,0,0,10,0,34,7,0,0,0
hsa-mir-30d_mature,65,18357,39,35,20165,85,16721,39,48,17856,28268,30673
hsa-mir-301a_mature,111,1,148,223,34,135,14,224,98,77,0,35
hsa-mir-34c_mature,0,0,0,0,0,34,0,0,0,0,0,0
hsa-mir-3944_mature,21,60,32,20,0,23,1,28,4,0,2,0
hsa-mir-3198-1_mature,6,0,0,5,0,9,0,5,3,0,0,0
hsa-mir-30a_mature,167,3,347,164,58,36,32,327,330,4,71,57
hsa-mir-1286_mature,11,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-940_mature,132,136,140,65,57,272,47,264,169,31,77,69
hsa-mir-7705_mature,12,0,93,58,0,104,0,56,34,0,0,0
hsa-mir-548d-1_mature,0,0,0,3,0,0,0,0,5,0,0,0
hsa-mir-4467_unannotated,0,0,0,0,0,0,0,0,0,12,0,0
hsa-mir-34b_mature,14,0,0,0,0,0,0,0,6,0,0,0
hsa-mir-6728_mature,10,0,6,8,0,52,0,22,23,0,0,15
hsa-mir-5583-2_mature,0,0,0,18,0,0,0,0,0,0,0,0
hsa-mir-1287_mature,67,0,135,31,0,51,0,95,59,0,0,0
hsa-mir-329-1_mature,39,15,30,46,0,55,11,158,36,0,18,10
hsa-let-7i_mature,4095,51,8859,4113,43,5205,157,6401,6521,99,310,280
hsa-mir-522_mature,70,0,41,19,0,98,0,127,31,0,0,12
hsa-mir-4695_mature,24,0,10,43,0,0,48,35,3,0,132,18
hsa-mir-491_mature,16,1,14,102,89,12,3,16,44,0,0,4
hsa-mir-219b_mature,11,0,12,17,0,0,0,0,8,47,0,0
hsa-mir-3128_mature,91,0,141,44,0,51,51,216,188,0,0,0
hsa-mir-5587_mature,0,0,0,0,0,0,0,9,9,0,0,0
hsa-mir-101-2_precursor,18,0,12,0,0,0,0,25,17,0,0,0
hsa-mir-1256_unannotated,0,0,10,5,0,13,0,0,0,0,0,0
hsa-mir-6844_unannotated,0,0,0,0,0,0,0,0,7,0,0,0
hsa-mir-4489_mature,0,0,0,0,0,0,0,0,8,0,0,0
hsa-mir-6814_mature,3,0,15,0,0,0,0,0,5,0,0,0
hsa-mir-4733_mature,4,0,0,0,0,0,0,43,0,0,0,0
hsa-mir-466_unannotated,3,0,0,0,0,0,0,37,12,0,0,0
hsa-mir-6737_mature,0,0,16,0,0,0,0,46,11,0,0,0
hsa-mir-4522_mature,9,0,0,0,0,0,0,0,7,0,0,0
hsa-mir-26b_mature,90,49,109,205,3,136,1415,203,118,1116,1944,14
hsa-mir-1843_unannotated,2,0,0,0,0,18,0,35,6,0,0,0
hsa-mir-4727_mature,53,0,39,44,35,32,0,54,31,0,0,0
hsa-mir-219a-1_mature,28,176,5,58,74,204,10,109,147,7,40,0
hsa-mir-512-1_mature,14,6,1,37,0,36,9,11,47,0,10,11
hsa-mir-4449_unannotated,18,0,1,34,0,17,0,53,16,0,0,0
hsa-mir-548ar_mature,1,0,15,12,0,0,0,40,17,0,0,0
hsa-mir-363_mature,0,0,6,0,0,0,0,0,0,0,0,0
hsa-mir-98_mature,21,1,16,32,73,27,7,19,40,1,16,88
hsa-mir-3198-2_mature,9,0,0,0,0,7,0,11,4,0,0,0
hsa-mir-551a_unannotated,28,0,0,52,0,31,5,26,12,0,47,6
hsa-mir-584_mature,557,373,708,957,254,944,90,1124,525,100,227,157
hsa-mir-6885_mature,0,0,2,0,3,0,0,0,6,0,0,0
hsa-mir-7111_mature,24,41,21,30,18,38,41,148,6,0,24,15
hsa-mir-6777_mature,0,0,2,13,0,0,0,51,0,0,0,0
hsa-mir-3121_mature,12,0,13,39,0,26,0,33,19,0,0,0
hsa-mir-6768_mature,0,0,0,5,0,13,7,0,0,0,0,0
hsa-mir-7854_mature,213,0,289,276,0,472,112,267,333,65,26,40
hsa-mir-509-3_mature,0,0,1,0,0,0,7,0,0,0,0,0
hsa-mir-3194_mature,31,28,15,25,0,9,0,22,35,0,0,0
hsa-mir-12132_mature,1,0,14,0,0,41,0,0,7,0,0,0
hsa-mir-34a_precursor,0,0,0,4,0,0,0,0,0,0,0,0
hsa-mir-7-3_precursor,0,0,0,0,0,0,0,0,10,0,0,0
hsa-mir-548f-1_mature,19,0,2,13,0,0,0,0,0,0,0,0
hsa-mir-34a_stemloop,15,0,0,0,2,31,0,0,12,13,0,0
hsa-mir-203b_mature,0,0,0,0,0,0,0,0,7,0,0,0
hsa-mir-7706_mature,334,481,662,900,37,1159,34,1071,452,3,113,157
hsa-mir-3124_mature,0,0,14,0,0,0,0,27,20,0,0,0
hsa-mir-6883_mature,0,26,3,0,0,0,0,0,11,27,0,0
hsa-mir-5090_mature,0,0,7,0,0,0,0,0,0,0,0,0
hsa-mir-625_mature,118,782,99,74,334,233,502,89,137,60,746,627
hsa-mir-224_mature,124,8715,195,33,13319,172,39,206,227,11063,15896,14250
hsa-mir-643_mature,29,0,25,31,0,37,0,16,46,0,0,3
hsa-mir-421_unannotated,7,0,6,0,0,0,0,0,4,0,0,0
hsa-mir-6802_mature,0,0,8,0,0,0,0,10,5,0,0,0
hsa-mir-3689b_mature,0,0,0,0,0,0,0,3,0,0,0,0
hsa-mir-204_mature,22,0,28,13,0,10,0,79,4,41,0,0
hsa-mir-3529_mature,0,0,30,21,0,0,0,0,16,0,0,0
hsa-mir-101-1_mature,14820,2445,22234,30517,1924,26661,2002,39231,21603,1805,2853,3147
hsa-mir-6894_mature,19,0,5,19,0,13,7,0,9,14,0,0
hsa-mir-518c_mature,0,0,11,0,0,0,0,22,0,0,0,0
hsa-mir-195_mature,53,0,9,27,0,50,0,36,3,0,0,0
hsa-mir-520d_mature,7,1,0,19,0,0,0,0,0,0,0,0
hsa-mir-616_mature,262,2,329,525,52,248,16,338,277,25,65,24
hsa-mir-4713_mature,99,65,1,310,274,144,6,171,67,21,114,63
hsa-mir-183_mature,191,18,185,157,4502,366,2762,277,205,3378,18,49
hsa-mir-6825_mature,0,0,0,0,0,0,0,0,6,0,0,0
hsa-mir-578_unannotated,41,23,14,68,36,71,0,88,4,0,0,25
hsa-mir-4734_mature,0,0,14,0,0,0,0,0,11,0,0,0
hsa-mir-548u_unannotated,0,0,4,0,0,0,0,0,9,0,0,0
hsa-mir-6879_mature,0,0,0,16,0,0,0,0,0,0,0,0
hsa-mir-891a_mature,125,0,181,45,0,295,0,247,104,0,0,0
hsa-mir-16-2_mature,7089,513,10925,9205,526,10980,639,15576,9772,682,1036,1074
hsa-mir-4467_mature,32,8,77,16,0,68,22,95,67,0,0,0
hsa-mir-4286_mature,0,0,20,0,0,20,8,0,9,0,53,0
hsa-mir-10394_unannotated,0,0,2,0,0,0,0,0,0,0,0,0
hsa-mir-4765_mature,0,0,25,0,0,0,0,0,0,0,0,0
hsa-mir-7974_mature,0,0,0,0,0,9,0,0,0,0,0,0
hsa-mir-103a-1_stemloop,0,0,0,0,0,0,0,17,0,0,0,0
hsa-mir-4775_mature,55,0,50,9,0,2,0,34,20,0,0,0
hsa-mir-18a_stemloop,0,0,0,0,0,0,0,10,0,0,0,0
hsa-mir-495_mature,10,0,30,47,0,91,0,66,37,0,57,0
hsa-mir-4667_mature,18,0,23,93,0,88,0,52,34,19,0,0
hsa-mir-28_mature,5207,401,11302,6692,118,7157,282,7916,8642,254,408,487
hsa-mir-548s_mature,25,0,0,0,0,0,0,41,0,0,0,0
hsa-mir-3116-2_mature,0,0,9,0,0,0,0,0,5,0,0,0
hsa-mir-548e_mature,9,0,15,566,0,275,0,14,5,0,46,4
hsa-mir-2110_unannotated,99,110,66,134,31,98,3,161,61,0,41,10
hsa-mir-1915_mature,10,0,7,3,11,39,0,20,9,24,62,0
hsa-mir-4508_unannotated,0,18,0,0,0,0,0,0,0,0,0,0
hsa-mir-146a_mature,331537,46909,428414,503762,41078,553370,33463,810851,425952,40557,72713,43636
hsa-mir-6818_mature,2,0,18,32,0,10,0,1,13,0,0,0
hsa-mir-498_mature,0,1,3,8,0,10,0,11,12,0,0,0
hsa-mir-5089_mature,18,0,12,41,0,87,0,14,11,0,0,0
hsa-mir-125a_mature,462,9,567,599,162,964,166,1019,708,88,217,185
hsa-mir-3144_precursor,1,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-891b_mature,0,0,2,0,0,0,0,0,0,0,0,0
hsa-mir-3117_mature,0,0,0,0,0,0,0,0,10,0,0,0
hsa-mir-99b_mature,3568,251,5904,5382,348,6560,421,7351,4282,389,596,341
hsa-mir-6785_mature,0,0,0,30,0,0,0,0,0,0,0,0
hsa-mir-3620_precursor,0,34,0,13,48,0,0,0,0,0,0,0
hsa-mir-509-1_mature,0,0,2,0,0,2,5,0,0,0,0,0
hsa-mir-933_unannotated,0,0,0,0,0,0,0,0,8,0,0,0
hsa-mir-6715a_mature,947,78,1292,1811,250,1432,111,2611,1230,67,248,136
hsa-mir-760_mature,1304,232,1801,2765,166,1992,128,2665,1695,155,287,293
hsa-mir-338_mature,67,32,52,53,345,153,23,75,86,5,624,18
hsa-mir-6882_mature,23,39,8,0,0,43,17,33,9,0,0,0
hsa-mir-579_mature,6,0,65,30,10,19,0,12,5,0,0,0
hsa-mir-548aw_mature,0,0,10,38,0,0,0,0,22,0,0,0
hsa-mir-539_mature,0,0,0,9,0,26,0,0,9,0,0,0
hsa-mir-543_mature,53,27,61,119,0,34,0,125,85,0,15,1
hsa-mir-6781_mature,0,0,0,0,0,0,0,0,5,16,0,0
hsa-mir-629_mature,26,1734,77,71,986,28,1076,138,15,916,1821,1645
hsa-mir-607_mature,6,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-140_mature,645,60,1300,725,141,851,59,971,744,1,261,50
hsa-mir-520f_precursor,0,0,0,0,0,0,0,0,2,0,0,0
hsa-mir-2116_mature,49,49,14,144,43,191,30,56,37,35,27,0
hsa-mir-6741_mature,9,0,8,26,0,0,0,0,2,0,5,0
hsa-mir-2467_mature,0,0,15,0,0,0,0,11,0,0,0,0
hsa-mir-10527_mature,122,25,339,293,2,300,0,372,151,22,0,25
hsa-mir-30d_stemloop,0,0,0,0,23,0,0,0,0,0,0,0
hsa-mir-6889_mature,0,0,6,54,0,7,0,38,0,0,0,0
hsa-mir-1289-1_mature,5,0,2,0,0,0,0,4,6,0,0,0
hsa-mir-3942_mature,18,1,31,59,0,19,0,19,40,0,0,0
hsa-mir-6822_mature,4,20,0,0,0,0,0,0,0,0,0,0
hsa-mir-6812_mature,16,0,0,0,35,39,0,0,0,0,0,0
hsa-mir-381_mature,13,0,12,29,0,13,0,11,23,18,0,0
hsa-mir-222_mature,18,290,19,9887,16,29,366,10,1,338,540,880
hsa-mir-3682_mature,36,0,28,84,0,0,0,87,26,30,72,0
hsa-mir-3620_mature,18,0,8,40,0,28,0,11,0,0,5,18
hsa-mir-4784_mature,0,0,0,7,0,0,0,0,0,0,0,0
hsa-mir-1229_stemloop,0,0,0,5,0,0,0,9,0,0,0,0
hsa-mir-5004_mature,0,0,6,55,32,40,13,20,0,0,80,7
hsa-mir-1269a_unannotated,331,13,360,293,37,357,91,518,424,156,139,156
hsa-mir-122_mature,12062,5159,15515,5,4007,145,2385,26680,18,3471,4010,3497
hsa-mir-98_precursor,9,0,2,0,0,0,0,0,0,0,0,0
hsa-mir-525_mature,0,0,4,21,0,0,0,0,0,0,0,0
hsa-mir-5706_mature,10,0,0,0,0,12,0,0,3,0,0,0
hsa-mir-4788_mature,0,0,15,23,0,0,0,31,0,0,0,0
hsa-mir-4690_mature,8,0,0,0,0,85,0,0,0,0,0,0
hsa-mir-502_mature,24,0,49,0,0,44,0,0,30,0,0,0
hsa-mir-4433b_mature,0,0,0,0,0,28,0,0,7,0,0,0
hsa-mir-6753_mature,10,0,10,2,0,0,0,44,4,0,0,0
hsa-mir-140_stemloop,0,0,0,0,0,0,13,26,0,0,0,0
hsa-mir-25_precursor,4,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-628_mature,208,73,187,167,1,265,3,178,234,19,1,53
hsa-mir-6891_mature,0,0,4,0,0,0,0,0,0,0,0,0
hsa-mir-4786_mature,0,0,0,26,0,0,24,64,8,0,0,0
hsa-mir-3661_mature,180,0,254,273,21,284,0,389,191,55,13,0
hsa-mir-1224_mature,31,0,4,0,0,87,0,15,62,0,0,0
hsa-mir-519c_mature,38,0,0,12,0,0,0,0,7,0,0,0
hsa-mir-3611_mature,2,0,6,18,0,0,0,23,6,0,0,0
hsa-mir-24-1_precursor,0,0,6,0,0,0,0,0,8,0,0,16
hsa-mir-23b_mature,1546,83,2109,2429,384,3421,231,2699,1668,235,328,374
hsa-mir-124-2_mature,5,16,4,6,0,0,0,3,1,0,0,0
hsa-mir-1283-1_mature,0,0,0,8,0,0,0,5,0,18,0,0
hsa-mir-520f_mature,0,0,3,0,0,0,0,0,0,0,0,0
hsa-mir-652_mature,1144,98,1813,1389,79,1634,27,1617,1791,44,366,79
hsa-mir-3190_mature,44,0,58,49,0,0,0,52,20,0,0,17
hsa-mir-487b_mature,37,0,29,151,0,60,1,57,48,0,37,0
hsa-mir-1307_mature,618,129,684,1447,212,1214,56,1280,729,80,75,194
hsa-mir-3613_mature,88,0,108,72,28,84,45,65,50,6,0,75
hsa-mir-636_mature,32,0,59,10,0,1,0,89,25,43,0,0
hsa-mir-6745_mature,13,0,33,8,15,124,0,0,19,0,0,0
hsa-mir-574_mature,19,6172,26119,30,7661,46423,5102,55562,3,4858,10968,6624
hsa-mir-3684_mature,20,0,23,31,0,45,0,50,28,0,0,0
hsa-mir-9983_mature,0,0,15,0,0,0,0,0,0,0,0,0
hsa-mir-548q_mature,0,0,6,0,0,0,0,2,0,0,0,0
hsa-mir-3614_precursor,0,0,4,0,0,0,0,0,0,0,0,0
hsa-mir-7850_mature,0,0,4,0,0,0,0,29,4,0,0,0
hsa-mir-1277_mature,20,0,42,26,0,0,0,11,11,0,0,0
hsa-mir-23a_mature,54,0,156,115,0,68,0,225,151,34,195,38
hsa-mir-211_mature,0,0,0,10,0,0,0,0,0,0,0,11
hsa-mir-103a-2_mature,55,0,35,41,0,147,0,121,59,0,0,0
hsa-mir-9903_unannotated,0,0,0,0,0,0,0,0,1,0,0,0
hsa-mir-4688_mature,0,0,18,0,0,0,13,0,5,0,0,0
hsa-mir-29b-1_mature,166,0,227,236,17,161,67,268,211,22,754,537
hsa-mir-515-1_mature,0,0,0,0,0,4,0,0,0,8,0,0
hsa-mir-6516_mature,25,0,4,18,13,127,0,1,16,0,0,0
hsa-mir-3685_mature,11,0,2,27,0,0,0,5,5,0,0,0
hsa-mir-346_mature,0,0,8,0,0,0,0,0,0,0,0,0
hsa-mir-4709_mature,0,0,1,0,0,0,1,49,19,0,0,0
hsa-mir-4517_mature,0,0,10,0,0,0,0,0,11,0,0,0
hsa-mir-5003_mature,0,0,0,0,0,0,0,24,0,0,0,0
hsa-mir-1-2_mature,245,17,423,444,13,311,0,621,308,50,1,21
hsa-mir-597_precursor,0,0,0,0,0,0,0,12,0,0,0,0
hsa-mir-6515_mature,8,0,47,32,18,20,0,23,30,0,28,0
hsa-mir-6769b_mature,0,0,0,0,0,0,0,0,6,0,0,0
hsa-mir-4669_mature,21,0,56,120,0,0,0,69,39,30,0,0
hsa-mir-1246_mature,1,0,0,2,0,3,0,28,3,0,0,0
hsa-mir-550a-2_mature,8,4,16,17,2,34,15,25,17,0,19,51
hsa-mir-2278_mature,0,0,26,0,0,23,0,0,0,0,0,0
hsa-mir-10395_stemloop,0,0,0,10,0,0,0,0,0,0,0,0
hsa-mir-518b_mature,0,0,0,0,0,0,0,0,7,0,0,0
hsa-mir-329-2_mature,26,12,34,51,0,66,13,148,31,0,13,7
hsa-mir-5010_mature,14,67,7,71,130,201,34,72,28,18,94,132
hsa-mir-1249_mature,34,68,7,16,0,6,28,9,14,28,57,12
hsa-mir-4716_mature,0,0,7,13,0,8,0,131,0,0,0,24
hsa-mir-5699_mature,11,0,0,0,11,0,0,0,6,0,0,0
hsa-mir-338_precursor,0,0,0,0,15,0,8,0,0,0,0,0
hsa-let-7i_precursor,0,0,0,2,0,0,0,0,13,0,0,0
hsa-mir-1293_unannotated,0,0,0,0,0,0,0,18,4,0,0,0
hsa-mir-181a-1_mature,486,44,743,27,113,710,67,767,5,14,199,142
hsa-mir-570_mature,10,0,1,1,52,16,0,14,3,18,0,0
hsa-mir-3646_mature,0,0,0,0,0,0,0,0,6,0,0,0
hsa-mir-4689_mature,27,63,31,47,33,23,0,155,29,40,28,8
hsa-mir-96_stemloop,2,0,0,0,0,1,0,0,0,0,0,0
hsa-mir-6513_mature,7,0,15,26,0,18,0,26,38,8,0,15
hsa-mir-33b_mature,15,0,7,0,0,19,0,0,1,0,0,0
hsa-mir-642a_mature,7,0,19,2,0,0,0,44,31,0,0,0
hsa-mir-1237_mature,2,0,0,3,19,10,0,0,2,68,0,0
hsa-mir-1180_mature,18,12,78,95,2,29,713,83,23,13,1311,4
hsa-mir-1288_mature,33,0,46,59,0,17,0,54,26,0,0,0
hsa-mir-3909_unannotated,28,0,43,93,10,49,8,92,40,1,0,18
hsa-mir-3064_mature,8,0,1,28,0,125,0,77,18,0,0,0
hsa-mir-6529_mature,52,66,9,31,29,35,24,25,39,83,166,69
hsa-mir-933_mature,19,0,14,64,0,46,0,31,100,0,0,9
hsa-mir-5696_mature,16,0,8,9,0,0,0,0,24,0,0,0
hsa-mir-106a_mature,0,1,0,0,0,0,0,0,1,0,2,0
hsa-mir-6740_mature,1,0,0,48,0,90,0,83,11,0,0,1
hsa-mir-6877_mature,16,0,54,9,0,0,0,97,29,0,24,0
hsa-mir-3680-1_mature,2,0,3,4,0,27,0,11,1,17,19,0
hsa-mir-4785_mature,0,0,22,0,0,0,0,0,0,0,0,0
hsa-mir-4999_mature,0,0,0,0,0,0,0,35,0,18,0,0
hsa-mir-10399_mature,98,1,155,83,12,117,44,96,83,20,57,0
hsa-mir-4746_mature,50,0,147,13,6,114,0,82,72,0,0,0
hsa-mir-943_mature,16,0,10,0,0,0,0,23,1,12,0,0
hsa-mir-3158-1_mature,1,58,92,108,14,160,6,29,4,34,104,69
hsa-mir-548b_mature,3,0,60,6,15,16,0,72,57,0,0,0
hsa-mir-6880_mature,4,0,4,0,0,0,48,0,1,0,0,0
hsa-mir-4437_mature,0,0,25,5,0,0,0,13,0,0,0,0
hsa-mir-7973-2_unannotated,24,0,3,0,1,30,0,49,4,0,0,0
hsa-mir-6821_mature,8,37,21,17,0,16,0,2,33,75,0,0
hsa-mir-519a-2_mature,10,0,0,0,0,0,0,0,0,0,0,8
hsa-mir-6846_mature,0,0,15,29,0,0,0,0,11,0,0,0
hsa-mir-4672_mature,0,0,0,0,0,17,0,0,0,0,0,0
hsa-mir-6758_mature,10,0,25,12,18,13,0,6,17,0,0,0
hsa-mir-124-3_mature,3,11,3,7,0,0,0,6,5,0,0,0
hsa-mir-548j_mature,6,0,21,0,0,11,0,0,16,0,0,0
