miRNA,9_5_3_1,9_5_3_2,9_5_3_3,9_5_3_4,9_5_3_5,9_5_3_6,9_5_3_7,9_5_3_8,9_5_3_9,9_5_3_10,9_5_3_11,9_5_3_12
hsa-mir-6886_mature,0,26,0,19,0,9,0,0,0,2,0,18
hsa-mir-6889_mature,0,0,0,0,38,7,0,0,0,6,54,0
hsa-mir-6890_mature,0,0,0,0,29,0,0,0,0,6,15,0
hsa-mir-6894_mature,0,14,0,19,0,13,0,0,7,5,19,9
hsa-mir-6895_mature,0,0,0,8,0,0,0,0,0,20,0,2
hsa-mir-7-1_mature,17,169,85,116,285,393,222,62,30,322,187,212
hsa-mir-7-2_mature,134,154,202,3009,4219,4002,206,160,124,4772,3440,3671
hsa-mir-7-3_mature,135,157,204,2992,4180,3961,198,123,131,4788,3425,3632
hsa-mir-7106_mature,0,0,0,11,0,32,0,0,0,15,3,8
hsa-mir-7108_mature,0,0,0,0,34,10,0,0,0,26,0,7
hsa-mir-7110_mature,0,0,0,7,14,0,10,26,0,0,0,6
hsa-mir-7111_mature,18,0,24,24,148,38,15,41,41,21,30,6
hsa-mir-7113_mature,0,0,0,9,26,0,13,0,0,6,19,0
hsa-mir-7114_mature,0,0,0,18,0,23,13,0,11,27,67,27
hsa-mir-744_mature,106,1,181,439,694,683,54,23,81,504,416,485
hsa-mir-760_mature,166,155,287,1304,2665,1992,293,232,128,1801,2765,1695
hsa-mir-760_unannotated,0,0,0,4,24,0,0,0,0,0,0,2
hsa-mir-765_mature,0,0,0,10,32,0,0,0,0,57,16,22
hsa-mir-766_mature,26,29,1,106,90,247,1,0,27,226,138,153
hsa-mir-767_mature,0,0,0,44,12,37,0,0,0,0,0,18
hsa-mir-769_mature,152,122,141,16,76,56,10,40,127,67,59,38
hsa-mir-7703_mature,0,0,0,42,0,1,0,0,0,15,16,11
hsa-mir-7705_mature,0,0,0,12,56,104,0,0,0,93,58,34
hsa-mir-7706_mature,37,3,113,334,1071,1159,157,481,34,662,900,452
hsa-mir-7850_mature,0,0,0,0,29,0,0,0,0,4,0,4
hsa-mir-7854_mature,0,65,26,213,267,472,40,0,112,289,276,333
hsa-mir-7854_unannotated,0,0,0,0,0,28,0,7,0,0,0,4
hsa-mir-7973-1_mature,0,0,0,0,16,53,0,0,0,8,20,6
hsa-mir-7973-2_mature,0,0,0,0,33,63,0,0,0,25,0,8
hsa-mir-7973-2_unannotated,1,0,0,24,49,30,0,0,0,3,0,4
hsa-mir-7976_mature,0,0,0,36,46,15,0,0,0,88,46,99
hsa-mir-7976_unannotated,0,0,0,9,0,0,0,0,0,16,0,5
hsa-mir-8072_mature,0,0,0,0,40,0,0,59,0,7,23,10
hsa-mir-874_mature,0,9,0,7,13,6,0,0,0,11,39,4
hsa-mir-877_mature,93,35,36,6251,70,46,14,26,11,8,10,23
hsa-mir-885_mature,2,12,2618,108,147,292,24,1579,37,151,242,48
hsa-mir-888_mature,0,0,0,55,174,192,0,0,0,125,126,80
hsa-mir-889_mature,0,0,0,6,14,69,0,0,34,4,12,10
hsa-mir-891a_mature,0,0,0,125,247,295,0,0,0,181,45,104
hsa-mir-892b_mature,0,0,0,12,0,0,0,0,0,2,7,6
hsa-mir-9-1_mature,16,21,0,28,48,31,21,12,0,72,71,46
hsa-mir-9-2_mature,18,17,0,32,51,42,12,1,2,61,59,35
hsa-mir-9-3_mature,18,21,0,24,52,27,12,16,2,63,68,42
hsa-mir-92a-1_mature,124,71,177,424,790,420,138,123,58,496,342,410
hsa-mir-92a-2_mature,73612,56455,94021,208093,592381,404240,58163,55466,52031,293026,426165,220383
hsa-mir-92b_mature,446,420,17,11,94,54,337,255,294,359,56,41
hsa-mir-93_mature,552,306,534,2754,6073,3368,205,472,480,3715,3931,3300
hsa-mir-933_mature,0,0,0,19,31,46,9,0,0,14,64,100
hsa-mir-937_mature,51,65,0,154,184,10,27,43,77,115,15,157
hsa-mir-939_mature,17,0,0,14,25,0,0,0,0,0,0,10
hsa-mir-940_mature,57,31,77,132,264,272,69,136,47,140,65,169
hsa-mir-942_mature,82,55,33,102,175,167,77,136,25,64,57,137
hsa-mir-943_mature,0,12,0,16,23,0,0,0,0,10,0,1
hsa-mir-95_mature,1,94,0,37,67,67,10,0,0,53,13,63
hsa-mir-96_mature,103,59,107,225,422,467,84,58,0,563,176,407
hsa-mir-98_mature,73,1,16,21,19,27,88,1,7,16,32,40
hsa-mir-9903_mature,0,0,0,49,266,112,0,0,0,47,109,65
hsa-mir-99a_mature,23,15,30,20,0,70,27,37,0,42,0,0
hsa-mir-99b_mature,348,389,596,3568,7351,6560,341,251,421,5904,5382,4282
