miRNA,9_5_3_1,9_5_3_2,9_5_3_3,9_5_3_4,9_5_3_5,9_5_3_6,9_5_3_7,9_5_3_8,9_5_3_9,9_5_3_10,9_5_3_11,9_5_3_12
hsa-mir-140_mature,141,1,261,645,971,851,50,60,59,1300,725,744
hsa-mir-141_mature,0,0,0,14,34,0,0,0,0,16,28,6
hsa-mir-142_mature,12,22,0,7,0,26,0,69,0,5,9,11
hsa-mir-143_mature,1899,1203,1481,22,36342,22534,1776,1728,1184,21835,18484,12
hsa-mir-144_mature,0,0,0,0,27,0,41,31,0,0,0,6
hsa-mir-145_mature,49,37,116,727,1566,1269,45,52,41,1262,985,1075
hsa-mir-1468_mature,0,0,0,63,156,175,45,0,40,124,172,119
hsa-mir-146a_mature,41078,40557,72713,331537,810851,553370,43636,46909,33463,428414,503762,425952
hsa-mir-146b_mature,3,126,9473,69,247,87,1,23,38,263,120,105
hsa-mir-147b_mature,0,0,0,0,3,11,0,0,0,20,6,10
hsa-mir-148a_mature,262,112,386,2980,6627,5344,337,203,282,4428,3762,4363
hsa-mir-148b_mature,39,33,118,275,496,408,8,88,37,266,92,135
hsa-mir-149_mature,228,312,167,737,1592,1448,164,79,80,854,3,758
hsa-mir-150_mature,0,0,0,12,8,0,0,0,0,21,5,0
hsa-mir-151a_mature,62,43,35,1284,1036,2043,78,2,48,2556,1341,2001
hsa-mir-151b_mature,0,0,0,0,1,1,0,0,0,10,2,12
hsa-mir-152_mature,54,97,59,26,39,1129,123,33,114,902,748,17
hsa-mir-153-1_unannotated,0,0,0,9,20,34,0,0,0,0,0,0
hsa-mir-15a_mature,85,22,238,204,3,143,107,28,20,246,122,150
hsa-mir-15b_mature,31,128,58,217,470,414,34,49,15,392,73,315
hsa-mir-16-1_mature,723,679,999,9,15014,10837,11,663,676,10902,9520,10751
hsa-mir-16-2_mature,526,682,1036,7089,15576,10980,1074,513,639,10925,9205,9772
hsa-mir-17_mature,0,1,144,52,86,101,0,89,20,117,66,107
hsa-mir-181a-1_mature,113,14,199,486,767,710,142,44,67,743,27,5
hsa-mir-181a-2_mature,33,53,199,198,303,285,130,31,68,155,241,221
hsa-mir-181b-1_mature,30,0,11,636,1098,21,1,81,39,796,472,7
hsa-mir-181b-2_mature,58,0,7,670,1180,836,38,98,40,40,499,924
hsa-mir-181c_mature,0,25,0,6,33,143,7,1,15,9,85,1
hsa-mir-181d_mature,1,0,24,202,406,164,35,43,0,5,175,282
