"","9_5_3_1","9_5_3_2","9_5_3_3","9_5_3_4","9_5_3_5","9_5_3_6","9_5_3_7","9_5_3_8","9_5_3_9","9_5_3_10","9_5_3_11","9_5_3_12"
"hsa-mir-124-3_mature",0,0,0,1.49016839001072,1.44493150089173,0,0,4.47732378800389,0,1.16263246130955,1.9210951929193,1.884585851941
"hsa-mir-1246_mature",0,0,0,0.680839710266297,3.17605599413597,0.985272803260754,0,0,0,0,0.845040797833371,1.38707654674652
"hsa-mir-1249_mature",0,6.2911833984925,6.25194468739105,4.42656442689427,1.84146937495206,1.56529263966472,4.6146960344129,7.05001560281003,6.30913437155381,1.95984280965861,2.8817672570719,3.09405251292119
"hsa-mir-1250_mature",5.86047806717473,7.56041387267739,7.48489124078648,8.82816997362097,8.69287903478427,8.49011147282197,7.53201685726255,4.04197828025734,8.01262863964729,7.67923555219263,8.70416258195809,9.05369898104227
"hsa-mir-1255a_mature",0,0,0,1.77074033060769,2.5559176643153,0,0,0,0,3.69751460417483,3.5048875595496,1.65717135639936
"hsa-mir-1256_mature",0,0,0,2.9324010012725,0,0,0,0,0,0.868505238939961,0,1.38707654674652
"hsa-mir-1256_unannotated",0,0,0,0,0,2.39102887238057,0,0,0,2.35863574256185,1.58052606311116,0
"hsa-mir-125a_mature",8.22591129829136,7.93064456075065,8.16658031185211,8.1273212349321,8.19740219663227,8.30289609236847,8.50497010505512,4.2021389127639,8.86161363479103,7.87716673986787,7.90386079303825,8.57838637654865
"hsa-mir-125a_precursor",0,0,0,3.32856192803649,0,0,4.05888015554661,0,0,2.35863574256185,1.76083691649437,1.05449263362891
"hsa-mir-125b-1_mature",3.59116535290211,5.66395185832629,5.63870437917626,1.77074033060769,5.94426220297313,5.0587360601171,0,5.23828756809322,5.3272149204376,4.13055245682213,5.0553162565087,2.89954802673245
"hsa-mir-125b-2_mature",3.97596088939791,1.9111873973818,5.34288249805786,2.20740413967184,2.69032323534332,4.86217257069761,0,5.31037587318738,5.51536105995406,3.98767236954519,4.9477518397767,1.884585851941
"hsa-mir-126_mature",7.00106592556745,6.1856845852873,0,4.61587701741406,2.62468508475282,3.19598745826189,5.85277542337658,5.23828756809322,0,3.39181692380698,2.42753523920845,2.89954802673245
"hsa-mir-1260b_mature",6.5118410372592,7.56041387267739,6.62415267702389,7.65694790001639,7.88688709743231,7.27436377096034,7.40441768675377,8.13666886215132,4.15195797317559,7.80974147702107,7.37708448018047,8.00138607740015
