miRNA,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
hsa-mir-148a_mature,1188.5538980097965,1.82368768825707,0.32129633534046154,5.676030155540368,1.3785648710981267e-8,2.7312816508631634e-7
hsa-mir-1287_mature,15.348914081114259,6.356374160399773,1.130332328212581,5.623456041862702,1.8717440910647186e-8,3.5960174355607013e-7
hsa-let-7a-2_mature,1876.5935808303327,2.103113598212049,0.3797664517691198,5.537913073718906,3.060971105345278e-8,5.707810825849725e-7
hsa-mir-1229_mature,144.83503704519356,-4.129323083920514,0.7464778531774089,-5.531742256443252,3.170655714383365e-8,5.743416351197295e-7
hsa-let-7i_mature,1388.4522264261698,3.003499188819016,0.544539144099357,5.515671777437905,3.474501812241557e-8,5.953605808003101e-7
hsa-mir-548v_mature,11.660586122404027,5.958928472541331,1.080253662718232,5.516230750421096,3.463474485253149e-8,5.953605808003101e-7
hsa-mir-24-1_mature,11559.978788752787,-7.373707504911729,1.343491020343249,-5.48846802342439,4.054346454771693e-8,6.764356979803299e-7
hsa-mir-641_unannotated,18.353658094592657,6.615610208984145,1.2096059570597173,5.469227536763476,4.520011774435838e-8,7.347916576903388e-7
hsa-mir-3145_mature,270.5276780881613,-2.9665123913047,0.5473487356151048,-5.419784861603754,5.967079948180385e-8,9.457821717865909e-7
hsa-mir-28_mature,1975.7793735298608,2.3122750031594164,0.4271473528920743,5.4132958743716015,6.18751228804065e-8,9.56800680638481e-7
hsa-mir-6529_mature,76.54496742327474,-3.268127515956889,0.6047827368732652,-5.403804236961444,6.524214780401515e-8,9.848457549463239e-7
hsa-mir-769_mature,114.69391602477707,-3.3657559126837144,0.6281823192417993,-5.3579284382694805,8.418156815598891e-8,1.2411887025789993e-6
hsa-mir-589_mature,143.50859573580672,-2.732323922208226,0.5190984251997972,-5.263595090192335,1.4126538946267298e-7,2.0355058390757878e-6
hsa-mir-146a_mature,147800.71058290705,1.140963746502858,0.2171527270986845,5.254199483225232,1.4866967641085747e-7,2.0945905520996363e-6
hsa-mir-4511_mature,11.32948286741819,5.917048689660339,1.1277023150290117,5.246995249369613,1.5459988387419917e-7,2.1307897038313535e-6
hsa-mir-3173_mature,168.7642645334925,-3.5966343790030333,0.6926782765554482,-5.192359138052348,2.0764596344130732e-7,2.8010115068465713e-6
hsa-mir-339_mature,1286.5975317049185,1.7863566891585678,0.347697310109317,5.137677621368231,2.781545179434357e-7,3.6739575911695467e-6
